filename;cz;en;latin
*DEFAULT*;;;
07;lev pustinný;Lion;Panthera leo
7H3A9064;lev pustinný;Lion;Panthera leo
7H3A6672-topaz-denoise;lev pustinný;Lion;Panthera leo
7H3A0571-topaz-denoise-sharpen;lev pustinný;Lion;Panthera leo
7H3A0332-topaz-denoise-sharpen;hyena skvrnitá;Spotted hyena;Crocuta crocuta
7H3A8146;šakal čabrakový;Black-backed jackal;Lupulella mesomelas
7H3A8381;šakal čabrakový;Black-backed jackal;Lupulella mesomelas
05;levhart skvrnitý;Leopard;Panthera pardus
7H3A0162-topaz-denoise-face (2);levhart skvrnitý;Leopard;Panthera pardus
7H3A9734-topaz-denoise (2);levhart skvrnitý;Leopard;Panthera pardus
