filename;cz;en;latin
*DEFAULT*;;;
7H3A2961-topaz-rawdenoise;;;
7H3A0215-topaz-rawdenoise;sifaka diadémový;Diademed sifaka;Propithecus diadema
7H3A0437;indri;Indri;Indri indri
7H3A0669-topaz-denoise;vari černobílý;Black-and-white ruffed lemur;Varecia variegata
7H3A0785;lemur tmavý (samice);Black lemur (female);Eulemur macaco
7H3A0871-topaz-denoise;lemur hnědý;Common brown lemur;Eulemur fulvus
7H3A1631-topaz-denoise;ksukol ocasatý;Aye-aye;Daubentonia madagascariensis
7H3A3268-topaz-rawdenoise;lemur kata;Ring-tailed lemur;Lemur catta
7H3A3412;lemur kata;Ring-tailed lemur;Lemur catta
7H3A3932-topaz-denoise-sharpen;lemur bambusový západní;Western bamboo lemur;Hapalemur occidentalis
7H3A5198-topaz-denoise;lemur zlatý;Golden bamboo lemur;Hapalemur aureus
